"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Ringsted";152588;154505;165975;175083;180231;186706;195298;205158;212430;220501;225411;230836;238968;247799;259524;270675;274166;269145;278781;281999;287818;291279;295423;300358;305931;314594;318670;328577;345328;359759;360008;376138;397074
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Slagelse";147822;151615;160802;167026;171059;176783;183784;188969;197216;204417;211003;215244;222071;229160;239007;252904;252950;252742;258496;260868;265216;269070;272201;277129;282770;289148;295393;303009;315702;332673;337047;348793;370036
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Sorø";146229;149661;160508;168652;175796;180189;188992;197518;207380;217058;221307;226232;234913;244232;254887;265225;263925;267031;273090;277830;284603;290911;295135;302594;305570;314113;317782;331063;341658;357873;358972;378076;400279
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Stevns";154030;158021;167132;174828;181234;187628;195900;204244;214185;222309;227444;231174;237219;247823;256730;267297;275153;265872;275030;280172;284046;289705;294932;299755;304132;310392;319958;330035;341201;356731;360671;376469;396882
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Vordingborg";139165;143038;153455;158678;163873;170222;177385;183570;193325;200065;204961;209895;215094;225123;234074;243240;242766;242587;251896;254837;260486;266401;270211;275865;276731;282718;289155;297340;314816;326457;334910;343730;366110
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Assens";140579;142675;154963;161234;167155;174796;183168;187041;196284;204021;209637;215903;222132;229006;241685;250465;251158;250058;258312;262639;267784;270534;272421;279089;283827;291657;294950;307255;319669;332682;333231;350702;365357
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Faaborg-Midtfyn";142072;144213;154772;161022;166404;173463;181032;184979;193521;201200;205267;210932;217949;224006;236476;245010;249389;245731;253509;257817;264002;267375;272273;278217;278611;288458;295989;303491;317296;328759;333316;347749;363338
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Kerteminde";151249;152652;164819;171218;176523;183894;192123;197065;203576;211455;218674;221105;229621;238236;246251;259132;257452;256385;264782;268944;269904;276207;283892;291161;298100;302153;307535;319218;330975;349296;351021;370677;385717
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Langeland";127712;130115;139292;145443;150817;154357;160711;162594;170684;175834;181107;185187;191691;197949;210957;219977;225423;222735;230044;231100;238265;241052;245812;247889;253150;257776;259870;273927;290793;293158;298690;313851;324053
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Middelfart";147390;150719;161685;169610;175928;183598;193148;199184;209056;216981;224033;228887;234526;244190;255270;266468;273180;269573;279902;281700;289543;293003;297634;309662;310618;323234;326767;346553;363578;372607;380569;397372;415538
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Nordfyns";140697;142866;153867;161073;166246;173547;181371;183656;193978;201741;207171;209434;217719;224892;237899;244530;247200;243148;253740;260881;264794;270783;273469;278900;281403;289854;296979;305767;317701;328173;333427;346490;361679
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Nyborg";146780;147431;156667;163461;168053;173964;181274;183595;192269;200544;206526;213850;220280;226810;239384;245837;253087;253561;260239;262825;267072;270759;275264;278787;282398;288951;298410;305597;321558;333900;334811;354013;366493
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Odense";144848;148110;157689;163234;168261;174847;183260;187760;194859;202754;207988;213248;218854;226295;235837;245604;249041;248840;257546;260104;260813;266297;269390;277392;279183;284822;291536;299596;312709;328305;329574;347544;365777
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Svendborg";142756;145156;153921;158831;166122;170653;179489;183062;190032;198555;205441;210971;217244;223618;235281;245658;253529;249537;257551;262339;268330;272393;277827;283894;287904;293029;296604;312320;328453;341899;343191;359606;373979
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Ærø";129029;129686;141433;148075;151189;158176;162945;166991;171566;181566;190538;195009;200129;203403;214751;227712;231628;228905;235605;236411;243378;244336;253021;254644;262654;265233;268783;275369;288173;299383;298257;310190;328729
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Billund";154505;158602;171735;175222;181110;189627;197803;213787;208136;217769;222566;227097;232055;239123;249478;267100;266787;257776;273502;276243;285308;292480;294787;298105;302269;316820;319555;330078;342119;358509;365635;598865;411187
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Esbjerg";152357;155055;165351;170791;176012;184614;191033;195443;205125;210631;217132;222662;229158;235558;247857;258076;264736;259479;269351;273569;279815;285294;290079;294849;298953;306984;312077;323003;335222;352559;354270;374857;395455
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Fanø";154562;159163;167692;175593;183616;186930;198338;205439;213666;218757;227883;232830;236302;245885;256732;276948;282107;280313;289677;292860;296548;302103;306872;311302;311074;321801;323936;332734;345687;365876;356100;369530;387164
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Fredericia";153260;156645;166447;174532;179049;184212;192733;198509;206699;213667;220493;225795;231593;240446;252898;263683;269662;265788;274300;275355;280027;283050;288050;295812;305361;307552;311178;320608;334068;349745;353985;370674;389279
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Haderslev";143554;146964;156528;163592;169711;175405;181827;186963;196881;205546;209716;212682;221330;230371;244377;253521;254953;254536;259908;262565;265621;270236;274905;280738;284332;293545;298613;307969;321204;333679;335529;350375;363836
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Kolding";152368;156005;166836;174928;180835;189105;197500;204949;211715;219518;224406;228540;237381;245860;259422;269683;276903;267422;277984;282190;287716;290165;295378;303927;308923;317707;323859;332888;354620;368102;366491;384292;399526
