"I alt";"Alder i alt";"I alt";"Lejre";26603;26562;26728;26722;26778;26769;26785;26798;26794;26774;26847;26861;26764;26750;26813;26919;26887;26950;27014;26924;26901;26824;26948;26974;26989;26954;27048;27083;27172;27112;27266;27287;27317;27333;27431;27438;27402;27452;27533;27549;27544;27579;27699;27786;27775;27855;27995;28095;27996;27986;28107;28133;28173;28383;28504;28630;28623;28630;28901;28966;28930;29016;29134;29213;29347;29405;29439;29564;29594;29562;29714;29762;29879
"I alt";"Alder i alt";"I alt";"Roskilde";80687;80712;80789;81243;81285;81401;81575;81788;81947;81964;82114;82469;82542;82625;82658;83022;83137;83148;83086;83448;83554;83699;83760;84017;84219;84391;84471;84838;85026;85189;85516;85903;86207;86431;86657;87011;87015;86951;86995;87180;87382;87490;87462;87615;87577;87542;87588;87553;87914;88276;88456;88758;88889;88765;88989;89208;89447;89615;90178;90452;90446;90458;90460;90695;90931;91119;91360;91506;91623;91697;91895;92354;92697
"I alt";"Alder i alt";"I alt";"Solrød";20759;20702;20692;20731;20743;20778;20830;20873;20882;20845;20874;20960;20964;21003;21072;21122;21156;21135;21104;21133;21145;21150;21239;21321;21339;21408;21468;21567;21552;21603;21687;21723;21788;21897;21958;22056;22147;22215;22273;22374;22518;22590;22780;22860;23065;23173;23234;23208;23255;23250;23347;23394;23441;23473;23492;23597;23794;23843;23897;23924;24216;24243;24414;24500;24579;24595;24651;24650;24732;24778;24842;24919;25040
"I alt";"Alder i alt";"I alt";"Faxe";35418;35511;35450;35444;35441;35481;35379;35397;35306;35355;35384;35299;35277;35259;35204;35222;35110;35087;35206;35192;35123;35031;35110;35117;35119;35146;35162;35147;35195;35305;35446;35542;35614;35659;35734;35808;35916;35987;36101;36101;36139;36190;36327;36504;36513;36543;36606;36520;36576;36557;36647;36605;36713;36803;36979;37062;37161;37155;37232;37251;37344;37443;37573;37695;37753;37697;37656;37643;37820;37876;37937;37981;38143
"I alt";"Alder i alt";"I alt";"Guldborgsund";63496;63435;63403;63272;63211;63094;63020;62883;62912;62821;62800;62693;62583;62296;62197;61907;61913;61750;61705;61482;61322;61214;61203;61025;61007;60880;60954;60830;60829;60796;60988;60867;60979;61091;61187;61227;61257;61232;61346;61229;61219;61130;61092;60968;60930;60879;60872;60751;60722;60551;60433;60309;60328;60345;60478;60317;60310;60259;60457;60376;60231;60088;60035;59808;59759;59616;59546;59410;59350;59215;59229;59131;59119
"I alt";"Alder i alt";"I alt";"Holbæk";69010;69182;69321;69403;69528;69525;69529;69468;69550;69536;69538;69607;69521;69548;69507;69433;69415;69354;69431;69275;69263;69237;69239;69093;69016;68997;68979;68938;69035;69353;69604;69771;69972;70118;70465;70775;70950;70917;70993;71026;70983;71033;71243;71185;71297;71272;71360;71456;71541;71558;71685;71812;71913;72030;72495;72662;72810;72990;73252;73352;73440;73680;73767;73919;74129;74191;74260;74306;74490;74530;74719;74935;75009
"I alt";"Alder i alt";"I alt";"Kalundborg";49743;49711;49845;49777;49741;49613;49583;49359;49265;49271;49300;49082;49088;49050;49014;48764;48632;48555;48532;48362;48294;48353;48407;48294;48358;48319;48379;48493;48469;48419;48623;48708;48660;48773;48846;48732;48736;48696;48867;48994;48982;48941;48854;48739;48681;48646;48564;48524;48436;48376;48374;48415;48487;48445;48427;48430;48368;48433;48649;48664;48602;48525;48524;48453;48309;48321;48273;48303;48103;48049;47905;47977;47954
"I alt";"Alder i alt";"I alt";"Lolland";48219;48095;48081;47892;47757;47480;47390;47176;46984;46806;46693;46313;46111;45986;45871;45492;45241;45190;45036;44622;44436;44209;44040;43717;43528;43409;43341;43157;43024;42969;42941;42743;42638;42560;42528;42398;42285;42186;42238;42084;41982;41921;41860;41674;41615;41505;41475;41294;41105;40966;40816;40618;40539;40395;40331;40241;40107;40026;40056;40060;39921;39881;39846;39754;39632;39598;39453;39235;39122;38984;38878;38656;38533
"I alt";"Alder i alt";"I alt";"Næstved";80732;80834;80836;81023;80954;80958;81114;81061;81112;80996;80975;80989;80963;80856;80942;80967;81012;81149;81209;81229;81163;81170;81216;81272;81432;81486;81530;81611;81687;81789;81902;82190;82342;82434;82474;82605;82581;82692;82801;82887;82938;82911;83078;83073;82991;83020;83095;83156;83143;83097;83165;83049;83181;83327;83492;83650;83801;84046;84507;84568;84574;84573;84651;84702;84747;84783;84771;84904;84895;84920;84991;85009;85163
"I alt";"Alder i alt";"I alt";"Odsherred";33129;33155;33218;33174;33159;33159;33212;33093;33030;32955;32974;32918;32845;32795;32826;32710;32640;32554;32538;32468;32452;32445;32511;32452;32534;32609;32743;32676;32665;32757;32880;32824;32816;32777;32940;32988;33023;33022;33102;33114;33083;33037;33161;33183;33122;33105;33170;33107;32957;32905;32955;32857;32923;32923;32964;32960;32881;32856;33040;33049;32977;32812;32832;32703;32605;32501;32535;32375;32225;32233;32209;32098;31988
