kommune,år,income
Hørsholm,1997,298933
Rudersdal,1997,285910
Bornholm,1997,161721
Greve,1997,219764
Køge,1997,196919
Lejre,1997,212263
Roskilde,1997,210419
Solrød,1997,226524
Faxe,1997,183245
Guldborgsund,1997,165704
Holbæk,1997,184081
Kalundborg,1997,179661
Lolland,1997,158830
Næstved,1997,180209
Odsherred,1997,172649
Ringsted,1997,186706
Slagelse,1997,176783
Sorø,1997,180189
Stevns,1997,187628
Vordingborg,1997,170222
Assens,1997,174796
Faaborg-Midtfyn,1997,173463
Kerteminde,1997,183894
Langeland,1997,154357
Middelfart,1997,183598
Nordfyns,1997,173547
Nyborg,1997,173964
Odense,1997,174847
Svendborg,1997,170653
Ærø,1997,158176
Billund,1997,189627
Esbjerg,1997,184614
Fanø,1997,186930
Fredericia,1997,184212
Haderslev,1997,175405
Kolding,1997,189105
Sønderborg,1997,179186
Tønder,1997,171696
Varde,1997,180374
Vejen,1997,174058
Vejle,1997,187598
Aabenraa,1997,178070
Favrskov,1997,188540
Hedensted,1997,184159
Horsens,1997,180375
Norddjurs,1997,171264
Odder,1997,185859
Randers,1997,176755
Samsø,1997,159024
Silkeborg,1997,189492
Skanderborg,1997,194983
Syddjurs,1997,181519
Aarhus,1997,184618
Herning,1997,185192
Holstebro,1997,179613
Ikast-Brande,1997,179167
Lemvig,1997,177854
Ringkøbing-Skjern,1997,179499
Skive,1997,174468
Struer,1997,181195
Viborg,1997,180097
Brønderslev,1997,169483
Frederikshavn,1997,176033
Hjørring,1997,172622
Jammerbugt,1997,172474
Læsø,1997,163707
Mariagerfjord,1997,173724
Morsø,1997,165990
Rebild,1997,180111
Thisted,1997,172863
Vesthimmerland,1997,167405
Aalborg,1997,177812
København,1998,181669
Frederiksberg,1998,222859
Dragør,1998,250354
Tårnby,1998,202630
Albertslund,1998,195435
Ballerup,1998,207913
Brøndby,1998,188420
Gentofte,1998,307167
Gladsaxe,1998,206038
Glostrup,1998,201945
Herlev,1998,197781
Hvidovre,1998,195022
Høje-Taastrup,1998,206781
Ishøj,1998,192152
Lyngby-Taarbæk,1998,246463
Rødovre,1998,195838
Vallensbæk,1998,238085
Allerød,1998,255833
Egedal,1998,238456
Fredensborg,1998,236865
Frederikssund,1998,206326
Furesø,1998,257555
Gribskov,1998,207489
Halsnæs,1998,189159
Helsingør,1998,210456
Hillerød,1998,223324
Hørsholm,1998,314650
Rudersdal,1998,305630
Bornholm,1998,167353
Greve,1998,229622
Køge,1998,205433
Lejre,1998,220929
Roskilde,1998,220271
Solrød,1998,238625
Faxe,1998,192312
Guldborgsund,1998,171565
Holbæk,1998,192343
Kalundborg,1998,186642
Lolland,1998,164820
Næstved,1998,188110
Odsherred,1998,178336
Ringsted,1998,195298
Slagelse,1998,183784
Sorø,1998,188992
Stevns,1998,195900
Vordingborg,1998,177385
Assens,1998,183168
Faaborg-Midtfyn,1998,181032
Kerteminde,1998,192123
Langeland,1998,160711
Middelfart,1998,193148
Nordfyns,1998,181371
Nyborg,1998,181274
Odense,1998,183260
Svendborg,1998,179489
Ærø,1998,162945
Billund,1998,197803
Esbjerg,1998,191033
Fanø,1998,198338
Fredericia,1998,192733
Haderslev,1998,181827
Kolding,1998,197500
Sønderborg,1998,186869
Tønder,1998,180107
Varde,1998,186534
Vejen,1998,181254
Vejle,1998,193982
Aabenraa,1998,186033
Favrskov,1998,196592
Hedensted,1998,191824
Horsens,1998,188711
Norddjurs,1998,177207
Odder,1998,196292
Randers,1998,183640
Samsø,1998,165367
Silkeborg,1998,198837
Skanderborg,1998,204507
Syddjurs,1998,188564
Aarhus,1998,191948
Herning,1998,192413
Holstebro,1998,189081
Ikast-Brande,1998,183546
Lemvig,1998,184130
Ringkøbing-Skjern,1998,187817
Skive,1998,182617
Struer,1998,186565
Viborg,1998,187850
Brønderslev,1998,173738
Frederikshavn,1998,181330
Hjørring,1998,178039
Jammerbugt,1998,182512
Læsø,1998,169916
Mariagerfjord,1998,180334
Morsø,1998,170974
Rebild,1998,188058
Thisted,1998,179373
Vesthimmerland,1998,174954
Aalborg,1998,185556
København,1999,189159
Frederiksberg,1999,234013
Dragør,1999,261811
Tårnby,1999,210377
Albertslund,1999,202838
Ballerup,1999,215746
Brøndby,1999,193588
Gentofte,1999,315222
Gladsaxe,1999,214341
Glostrup,1999,209614
Herlev,1999,205770
Hvidovre,1999,201681
Høje-Taastrup,1999,213866
Ishøj,1999,198035
Lyngby-Taarbæk,1999,259800
Rødovre,1999,201985
Vallensbæk,1999,248435
Allerød,1999,267273
Egedal,1999,249407
Fredensborg,1999,248586
Frederikssund,1999,216909
Furesø,1999,265236
Gribskov,1999,215680
Halsnæs,1999,197004
Helsingør,1999,220166
Hillerød,1999,233188
Hørsholm,1999,331280
Rudersdal,1999,319233
Bornholm,1999,172872
Greve,1999,237779
Køge,1999,213604
Lejre,1999,230051
Roskilde,1999,229521
Solrød,1999,248096
Faxe,1999,198360
Guldborgsund,1999,177222
Holbæk,1999,200013
Kalundborg,1999,191896
Lolland,1999,168030
Næstved,1999,194596
Odsherred,1999,184083
Ringsted,1999,205158
Slagelse,1999,188969
Sorø,1999,197518
Stevns,1999,204244
Vordingborg,1999,183570
Assens,1999,187041
Faaborg-Midtfyn,1999,184979
Kerteminde,1999,197065
Langeland,1999,162594
Middelfart,1999,199184
Nordfyns,1999,183656
Nyborg,1999,183595
Odense,1999,187760
Svendborg,1999,183062
Ærø,1999,166991
Billund,1999,213787
Esbjerg,1999,195443
Fanø,1999,205439
Fredericia,1999,198509
Haderslev,1999,186963
Kolding,1999,204949
Sønderborg,1999,190356
Tønder,1999,183464
Varde,1999,192543
Vejen,1999,187422
Vejle,1999,204245
Aabenraa,1999,192357
Favrskov,1999,203979
Hedensted,1999,198456
Horsens,1999,195919
Norddjurs,1999,182570
Odder,1999,205351
Randers,1999,189343
Samsø,1999,171001
Silkeborg,1999,205942
Skanderborg,1999,212290
Syddjurs,1999,197357
Aarhus,1999,198998
Herning,1999,198415
Holstebro,1999,191868
Ikast-Brande,1999,191274
Lemvig,1999,187762
Ringkøbing-Skjern,1999,191019
Skive,1999,187081
Struer,1999,190854
Viborg,1999,193601
Brønderslev,1999,179528
Frederikshavn,1999,185621
Hjørring,1999,182544
Jammerbugt,1999,185962
Læsø,1999,175933
Mariagerfjord,1999,185018
Morsø,1999,175372
Rebild,1999,194709
Thisted,1999,183803
Vesthimmerland,1999,179249
Aalborg,1999,191525
København,2000,198337
Frederiksberg,2000,245138
Dragør,2000,269943
Tårnby,2000,218936
Albertslund,2000,208643
Ballerup,2000,225480
Brøndby,2000,203317
Gentofte,2000,346665
Gladsaxe,2000,223468
Glostrup,2000,221040
Herlev,2000,213854
Hvidovre,2000,208994
Høje-Taastrup,2000,221972
Ishøj,2000,205233
Lyngby-Taarbæk,2000,277285
Rødovre,2000,209977
Vallensbæk,2000,258675
Allerød,2000,281912
Egedal,2000,260459
Fredensborg,2000,263354
Frederikssund,2000,225757
Furesø,2000,284514
Gribskov,2000,224091
Halsnæs,2000,205260
Helsingør,2000,231943
Hillerød,2000,244242
Hørsholm,2000,358623
Rudersdal,2000,353356
Bornholm,2000,180018
Greve,2000,249325
Køge,2000,223378
Lejre,2000,241805
Roskilde,2000,239902
Solrød,2000,260778
Faxe,2000,206367
Guldborgsund,2000,184839
Holbæk,2000,208526
Kalundborg,2000,201153
Lolland,2000,175348
Næstved,2000,202878
Odsherred,2000,191328
Ringsted,2000,212430
Slagelse,2000,197216
Sorø,2000,207380
Stevns,2000,214185
Vordingborg,2000,193325
Assens,2000,196284
Faaborg-Midtfyn,2000,193521
Kerteminde,2000,203576
Langeland,2000,170684
Middelfart,2000,209056
Nordfyns,2000,193978
Nyborg,2000,192269
Odense,2000,194859
Svendborg,2000,190032
Ærø,2000,171566
Billund,2000,208136
Esbjerg,2000,205125
Fanø,2000,213666
Fredericia,2000,206699
Haderslev,2000,196881
Kolding,2000,211715
Sønderborg,2000,200097
Tønder,2000,191595
Varde,2000,200321
Vejen,2000,195483
Vejle,2000,210683
Aabenraa,2000,199798
Favrskov,2000,212935
Hedensted,2000,209643
Horsens,2000,203239
Norddjurs,2000,188443
Odder,2000,214481
Randers,2000,195677
Samsø,2000,176139
Silkeborg,2000,216653
Skanderborg,2000,222644
Syddjurs,2000,204196
Aarhus,2000,205610
Herning,2000,207412
Holstebro,2000,200485
Ikast-Brande,2000,201934
Lemvig,2000,196616
Ringkøbing-Skjern,2000,200865
Skive,2000,194938
Struer,2000,199952
Viborg,2000,201988
Brønderslev,2000,190320
Frederikshavn,2000,190186
Hjørring,2000,189141
Jammerbugt,2000,195452
Læsø,2000,177235
Mariagerfjord,2000,193049
Morsø,2000,184659
Rebild,2000,205113
Thisted,2000,193433
Vesthimmerland,2000,186472
Aalborg,2000,201059
København,2001,206986
Frederiksberg,2001,256128
Dragør,2001,281056
Tårnby,2001,227405
Albertslund,2001,216242
Ballerup,2001,232133
Brøndby,2001,210615
Gentofte,2001,364359
Gladsaxe,2001,234344
Glostrup,2001,228662
Herlev,2001,220514
Hvidovre,2001,217803
Høje-Taastrup,2001,231422
Ishøj,2001,213722
Lyngby-Taarbæk,2001,286742
Rødovre,2001,219099
Vallensbæk,2001,268356
Allerød,2001,293330
Egedal,2001,274866
Fredensborg,2001,270895
Frederikssund,2001,237553
Furesø,2001,294951
Gribskov,2001,234938
Halsnæs,2001,213083
Helsingør,2001,237969
Hillerød,2001,254756
Hørsholm,2001,361985
Rudersdal,2001,357282
Bornholm,2001,187360
Greve,2001,259170
Køge,2001,231731
Lejre,2001,251833
Roskilde,2001,250687
Solrød,2001,271478
Faxe,2001,216199
Guldborgsund,2001,192097
Holbæk,2001,217191
