kommune,1992K1,1992K2,1992K3,1992K4,1993K1,1993K2,1993K3,1993K4,1994K1,1994K2,1994K3,1994K4,1995K1,1995K2,1995K3,1995K4,1996K1,1996K2,1996K3,1996K4,1997K1,1997K2,1997K3,1997K4,1998K1,1998K2,1998K3,1998K4,1999K1,1999K2,1999K3,1999K4,2000K1,2000K2,2000K3,2000K4,2001K1,2001K2,2001K3,2001K4,2002K1,2002K2,2002K3,2002K4,2003K1,2003K2,2003K3,2003K4,2004K1,2004K2,2004K3,2004K4,2005K1,2005K2,2005K3,2005K4,2006K1,2006K2,2006K3,2006K4,2007K1,2007K2,2007K3,2007K4,2008K1,2008K2,2008K3,2008K4,2009K1,2009K2,2009K3,2009K4,2010K1,2010K2,2010K3,2010K4,2011K1,2011K2,2011K3,2011K4,2012K1,2012K2,2012K3,2012K4,2013K1,2013K2,2013K3,2013K4,2014K1,2014K2,2014K3,2014K4,2015K1,2015K2,2015K3,2015K4,2016K1,2016K2,2016K3,2016K4,2017K1,2017K2,2017K3,2017K4,2018K1,2018K2,2018K3,2018K4,2019K1,2019K2,2019K3,2019K4,2020K1,2020K2,2020K3,2020K4,2021K1,2021K2,2021K3,2021K4,2022K1,2022K2,2022K3,2022K4,2023K1,2023K2,2023K3,2023K4,2024K1,2024K2,2024K3,2024K4,2025K1,2025K2,2025K3,2025K4
Svendborg,3976.0,3699.0,3535.0,3597.0,3507.0,3691.0,3965.0,3959.0,3996.0,4023.0,3892.0,3861.0,3780.0,3938.0,3991.0,4441.0,4316.0,4649.0,4486.0,4694.0,4911.0,5056.0,5112.0,5493.0,5348.0,5886.0,5902.0,5987.0,5884.0,6452.0,5912.0,6308.0,6026.0,6481.0,6356.0,6201.0,6855.0,6772.0,6627.0,6700.0,6760.0,6761.0,6637.0,6494.0,7026.0,6941.0,7017.0,7257.0,7416,6946.0,7746.0,7751,8147.0,7824,8341,9032,8618.0,9580.0,10036.0,10090.0,11628.0,11339.0,11713,11648.0,12630.0,12490,13135.0,11827.0,11496.0,11394.0,10761,11740.0,11632.0,11252.0,10741.0,10483.0,10666.0,10149.0,9436.0,10632.0,9558.0,9651.0,9862.0,9604.0,9801,10176.0,9208.0,8522.0,8825.0,10261.0,8906.0,9274.0,9520.0,9929.0,9430.0,10039.0,9693.0,10465,10572,9694,10155.0,10802.0,10148,10719,10388,11804.0,11331,11258.0,11792,11738,12661,11203,11197.0,12162,12713.0,11921,12200,13640,13041,13014.0,13136,13181.0,13512,12019,12043.0,13628.0,13467,13556.0,13834.0,14370,14435,13999.0,14255.0,15110.0,14668.0,13899.0
Ærø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770,4045.0,4791.0,4967,6120.0,5626,4758,5403,5313.0,7385.0,8048.0,6797.0,7024.0,7383.0,7017,7503.0,6746.0,7247,6560.0,7121.0,6366.0,7188.0,7857,7620.0,6169.0,7446.0,5921.0,7229.0,5669.0,6472.0,6024.0,5297.0,4584.0,5039.0,5152.0,5985.0,6572,6317.0,4117.0,,3532.0,6778.0,5495.0,4064.0,3231.0,4111.0,5362.0,4378.0,5297.0,5413,5357,4298,4027.0,5358.0,4866,5393,5139,4570.0,5702,5785.0,5364,6564,6090,5807,6162.0,5941,7801.0,6181,6240,7348,7675,8457.0,7105,6963.0,6993,6649,7945.0,7881.0,7796,8278.0,9109.0,8823,8543,8964.0,5974.0,8149.0,9875.0,7276.0
Billund,4024.0,4054.0,3828.0,3864.0,3488.0,3937.0,4062.0,3647.0,4849.0,4267.0,4135.0,4062.0,3977.0,4214.0,4147.0,4769.0,4966.0,5509.0,5369.0,5244.0,5461.0,5634.0,5140.0,5279.0,5525.0,5942.0,5329.0,6205.0,5479.0,5719.0,6449.0,5913.0,6122.0,5609.0,5780.0,6241.0,5513.0,5885.0,6216.0,5962.0,5718.0,6319.0,5700.0,5768.0,5704.0,6131.0,6008.0,5695.0,6033,6109.0,6116.0,6785,6052.0,6399,6429,6394,6554.0,7133.0,6967.0,7197.0,6998.0,7189.0,8338,7300.0,8089.0,8104,8811.0,8115.0,6718.0,8288.0,8333,8831.0,7947.0,7218.0,8597.0,8779.0,7656.0,7867.0,8182.0,7977.0,7446.0,8767.0,7398.0,7191.0,7478,7739.0,7626.0,6785.0,7246.0,8312.0,7070.0,7349.0,7888.0,8517.0,8742.0,9010.0,8075.0,8336,8286,7698,8575.0,10018.0,8583,7936,8095,8263.0,9076,8702.0,7988,9301,7840,9157,8952.0,9749,8688.0,9204,10143,9373,9700,9954.0,9260,9760.0,9956,9396,9161.0,11079.0,9578,10298.0,10487.0,12204,10989,11485.0,10872.0,11677.0,11677.0,10263.0
Esbjerg,3879.0,3894.0,3800.0,4106.0,3674.0,4123.0,4343.0,4332.0,4542.0,4481.0,4541.0,4602.0,4343.0,4675.0,4716.0,4849.0,4926.0,5228.0,5223.0,5215.0,5546.0,5617.0,5592.0,5897.0,6007.0,6166.0,5846.0,6395.0,6279.0,6354.0,6301.0,6280.0,6233.0,6365.0,6659.0,6542.0,6583.0,6676.0,6310.0,6252.0,6789.0,6336.0,6367.0,6339.0,6407.0,6398.0,6646.0,6618.0,6953,7036.0,7238.0,7566,7825.0,8039,7648,8422,9158.0,9012.0,9249.0,9743.0,10260.0,10238.0,10855,11027.0,10854.0,11271,10591.0,10434.0,10335.0,10354.0,10397,9841.0,10184.0,11321.0,10776.0,10273.0,10473.0,11114.0,10413.0,9769.0,10088.0,10268.0,9809.0,10054.0,9649,10163.0,10657.0,9882.0,10335.0,10284.0,10412.0,10526.0,10054.0,10507.0,10317.0,10424.0,11102.0,11551,10606,11286,11280.0,11933.0,11815,11120,11529,11251.0,11458,11683.0,11517,12202,12678,12266,12167.0,12075,12293.0,11972,12709,13329,12770,13274.0,12917,13558.0,13632,12411,13309.0,13291.0,12820,13323.0,12762.0,13526,12690,12190.0,13178.0,13679.0,12348.0,12980.0
Fanø,4145.0,4416.0,4175.0,3376.0,4594.0,3962.0,3424.0,3982.0,4018.0,4826.0,5270.0,3633.0,4001.0,4469.0,4607.0,5088.0,4432.0,6183.0,5974.0,4942.0,5300.0,5178.0,5654.0,6142.0,6563.0,5243.0,6652.0,6308.0,5747.0,6228.0,6861.0,7614.0,7127.0,6560.0,6674.0,6481.0,7239.0,7722.0,7148.0,6912.0,6879.0,6479.0,7014.0,6875.0,7604.0,7579.0,6750.0,6368.0,5657,,8514.0,7196,8331.0,7277,8054,10712,9061.0,,8761.0,,10156.0,,8264,,,11030,,,,,12283,10643.0,12350.0,11074.0,,,9325.0,8961.0,10294.0,,,,,,10175,,,,,10394.0,,10160.0,9134.0,,,10379.0,8637.0,9570,10990,11158,9774.0,8024.0,11626,9060,8139,11427.0,12482,,10518,11051,12807,9868,8012.0,12075,12815.0,13194,10983,14648,15384,14587.0,14744,14716.0,13133,12667,12837.0,15824.0,17068,12707.0,10589.0,14950,12458,11348.0,11772.0,12761.0,14797.0,11525.0
Fredericia,3708.0,4027.0,3912.0,3908.0,3763.0,4069.0,4391.0,4418.0,4416.0,4448.0,4546.0,4579.0,4398.0,4670.0,4476.0,5164.0,4979.0,5289.0,5381.0,5432.0,5668.0,5804.0,6268.0,6099.0,6474.0,6513.0,6608.0,6703.0,7227.0,6878.0,6789.0,6881.0,6955.0,7205.0,7348.0,7303.0,7302.0,7270.0,7789.0,7548.0,7717.0,7689.0,7844.0,7264.0,7387.0,8364.0,8073.0,7781.0,7968,8365.0,8464.0,8716,8653.0,8786,8644,9349,10810.0,10600.0,11346.0,11762.0,10845.0,11072.0,12060,13247.0,13524.0,13035,12800.0,11913.0,11022.0,11475.0,11353,11352.0,10826.0,10795.0,10877.0,11610.0,10892.0,11163.0,10820.0,10324.0,11132.0,10106.0,10269.0,10758.0,10054,10179.0,10214.0,9698.0,9729.0,10386.0,9087.0,10017.0,10540.0,10707.0,10386.0,10048.0,10814.0,11057,10636,10859,10781.0,11292.0,11399,10651,11230,11251.0,11622,11922.0,11314,11722,12094,12066,11188.0,12080,12760.0,11373,12297,13023,12409,12936.0,13075,13889.0,13182,12294,12527.0,13211.0,12705,13028.0,12764.0,13222,12743,12906.0,13041.0,12989.0,13028.0,12780.0
Haderslev,3164.0,3097.0,3331.0,3106.0,3009.0,3547.0,3516.0,3542.0,3530.0,3584.0,3467.0,3682.0,3711.0,3439.0,3630.0,3766.0,3894.0,4246.0,4246.0,4235.0,4474.0,4549.0,4458.0,4778.0,4710.0,5081.0,4689.0,4591.0,4917.0,5075.0,5081.0,5052.0,5480.0,5318.0,5259.0,5130.0,5361.0,5616.0,5161.0,5443.0,5596.0,5315.0,5190.0,5609.0,5430.0,5719.0,5354.0,5762.0,5935,5896.0,6297.0,5442,6427.0,6417,6974,6630,6452.0,6927.0,7765.0,7035.0,7997.0,8727.0,7547,8643.0,8774.0,8966,8563.0,7866.0,7867.0,7835.0,8513,8440.0,8141.0,8064.0,7175.0,7398.0,7863.0,7634.0,7249.0,7794.0,7403.0,7164.0,7195.0,6603.0,6524,6589.0,6580.0,6879.0,6608.0,6958.0,6172.0,6149.0,7377.0,7230.0,7690.0,6412.0,6815.0,6923,7064,7101,6932.0,7036.0,6637,6889,7111,7520.0,7627,7345.0,7130,7597,7161,7719,7564.0,7581,7911.0,7796,7710,8534,8050,7083.0,8678,8351.0,8294,7884,7161.0,8325.0,8414,7618.0,8158.0,8464,8371,6622.0,7128.0,8033.0,8040.0,9188.0
Kolding,3952.0,3775.0,3898.0,3771.0,3732.0,4113.0,4220.0,4463.0,4237.0,4643.0,4350.0,4710.0,4441.0,4678.0,4853.0,5219.0,5416.0,5455.0,5610.0,5870.0,5987.0,6111.0,5889.0,6366.0,6614.0,6760.0,6845.0,6840.0,6869.0,7184.0,7116.0,7064.0,7059.0,7586.0,7702.0,7469.0,7550.0,8061.0,7604.0,7745.0,7458.0,7657.0,7935.0,7837.0,7147.0,8215.0,8477.0,8320.0,8414,8692.0,8177.0,8819,8925.0,9542,9633,10314,10499.0,10624.0,11519.0,11219.0,12134.0,12849.0,12793,12759.0,12933.0,13122,12547.0,12394.0,11726.0,11848.0,11165,11933.0,12142.0,12084.0,11524.0,11412.0,10715.0,11279.0,10842.0,10176.0,11191.0,10148.0,11178.0,10436.0,10809,10567.0,10569.0,10742.0,10930.0,10638.0,10697.0,10500.0,11202.0,11932.0,11099.0,11388.0,11238.0,11215,11247,10560,11278.0,11489.0,11249,11668,11811,12311.0,12141,11649.0,12118,11957,12063,12161,12235.0,12061,13254.0,12740,13047,12872,13854,13006.0,13275,12772.0,12933,13435,12104.0,12780.0,13617,12924.0,12734.0,12606,12693,12648.0,13456.0,13443.0,14667.0,13644.0
Sønderborg,3529.0,3663.0,3669.0,3495.0,3529.0,3445.0,3759.0,3984.0,3739.0,4083.0,4070.0,3890.0,4011.0,4291.0,4132.0,4589.0,4557.0,4582.0,4569.0,4525.0,4613.0,4979.0,5083.0,4937.0,5437.0,4723.0,4641.0,4945.0,5244.0,5538.0,5571.0,5437.0,5374.0,5830.0,5380.0,6027.0,6033.0,5810.0,6012.0,6016.0,5912.0,5878.0,5744.0,5750.0,5754.0,6325.0,6217.0,5466.0,6103,6316.0,6725.0,6845,6760.0,7186,6798,6934,7366.0,7816.0,8201.0,7860.0,7745.0,8294.0,9005,8362.0,8597.0,8551,8415.0,8957.0,7641.0,9242.0,7863,8307.0,7518.0,8926.0,7874.0,7910.0,8245.0,8153.0,7448.0,8355.0,7420.0,6996.0,7674.0,7430.0,6804,7321.0,7308.0,7268.0,6877.0,6962.0,7083.0,7413.0,7472.0,7536.0,7279.0,7212.0,7315.0,7273,7802,7853,7438.0,7737.0,7620,7187,7119,7782.0,7654,8166.0,7255,7852,8261,8164,7023.0,7958,8595.0,8332,8699,8862,8684,8656.0,8604,8364.0,9232,8486,8388.0,8321.0,8871,8958.0,9152.0,9354,8970,9507.0,9938.0,9690.0,9302.0,8984.0
Tønder,2734.0,2780.0,2935.0,2724.0,2784.0,2837.0,2993.0,3037.0,2920.0,2931.0,3174.0,3302.0,2975.0,3127.0,3030.0,3244.0,3149.0,3205.0,3159.0,3663.0,3482.0,3287.0,3467.0,3216.0,3646.0,3942.0,3497.0,3713.0,3737.0,4014.0,4043.0,3706.0,3902.0,4201.0,3854.0,3911.0,4129.0,4064.0,3883.0,4554.0,4050.0,4136.0,4182.0,4217.0,4486.0,4179.0,4305.0,4210.0,4540,4360.0,4011.0,4469,4348.0,4919,4389,4791,5063.0,5466.0,5049.0,4685.0,5310.0,5488.0,5780,6310.0,5627.0,5536,5682.0,5704.0,5917.0,5749.0,5597,5620.0,5934.0,5704.0,5866.0,6155.0,5723.0,6004.0,4872.0,5099.0,4188.0,5530.0,4961.0,4935.0,4860,4471.0,4960.0,4703.0,5519.0,5506.0,5510.0,4432.0,4857.0,4333.0,5504.0,4364.0,4605.0,4108,4216,4598,4219.0,5085.0,4507,4620,5467,4549.0,5137,4732.0,4315,5177,4775,5415,5509.0,4519,4916.0,5314,5309,5401,5307,5280.0,5521,5456.0,5141,5766,5468.0,5896.0,5349,5678.0,6093.0,5511,5595,6259.0,5398.0,5959.0,5285.0,5765.0
Varde,3293.0,3396.0,3019.0,3266.0,3247.0,3480.0,3243.0,3524.0,3325.0,3533.0,3516.0,3583.0,3569.0,3721.0,3816.0,3885.0,4048.0,4295.0,4095.0,4194.0,4169.0,4462.0,4532.0,4468.0,4523.0,4618.0,4447.0,4779.0,4775.0,4852.0,4957.0,4946.0,5148.0,5173.0,4813.0,4972.0,4898.0,4933.0,4985.0,5279.0,4926.0,5119.0,5127.0,5262.0,5354.0,5575.0,5300.0,5320.0,5556,5394.0,5393.0,5687,5711.0,5722,6128,5800,5773.0,5958.0,6702.0,6470.0,6916.0,7101.0,7194,7106.0,7333.0,8315,8092.0,7748.0,7983.0,7217.0,8185,7574.0,8309.0,7632.0,7514.0,7161.0,7006.0,7112.0,7188.0,7980.0,7570.0,7199.0,7068.0,6770.0,7917,6791.0,7147.0,7277.0,7333.0,7535.0,7213.0,6659.0,7124.0,7234.0,7202.0,6985.0,7710.0,7731,7559,6996,7442.0,7175.0,7680,6838,7579,7366.0,7703,7183.0,7574,7063,8265,8132,8288.0,8052,7851.0,8512,8259,7961,7838,8346.0,8290,8351.0,8489,7798,7020.0,8713.0,8164,8224.0,8367.0,9468,8398,8395.0,8480.0,8616.0,8014.0,8395.0
Vejen,3130.0,3062.0,2927.0,2798.0,2850.0,3001.0,3038.0,3176.0,3222.0,3334.0,3181.0,3299.0,3291.0,3382.0,3583.0,3579.0,3747.0,3777.0,3732.0,4034.0,3813.0,3998.0,4378.0,4272.0,4447.0,4396.0,4485.0,4680.0,4669.0,4910.0,5134.0,4939.0,4690.0,4857.0,4961.0,4939.0,5391.0,5087.0,4617.0,4948.0,4961.0,4840.0,5332.0,4868.0,4717.0,5185.0,5294.0,5097.0,5598,5595.0,5498.0,5453,5692.0,5888,6143,6151,6158.0,6809.0,6722.0,6777.0,6797.0,7018.0,7341,7015.0,7843.0,8240,8855.0,7242.0,8043.0,7749.0,7058,7305.0,6922.0,6953.0,6965.0,7256.0,6444.0,7099.0,6752.0,6749.0,6738.0,7431.0,6512.0,6252.0,5613,6776.0,7213.0,6262.0,7685.0,6445.0,6212.0,5953.0,6747.0,6517.0,6546.0,6282.0,5926.0,6555,6812,6657,6810.0,7127.0,5861,7171,6297,7450.0,6773,6931.0,6682,7263,7945,7066,6945.0,7008,7946.0,7782,7641,8213,7944,7784.0,8320,7730.0,8043,8267,7816.0,7350.0,8461,7300.0,7410.0,7884,7396,7229.0,8655.0,8266.0,7616.0,8075.0
Vejle,3560.0,3651.0,3714.0,3686.0,3537.0,3832.0,3800.0,4239.0,4010.0,4263.0,3971.0,4039.0,4211.0,4071.0,4087.0,4248.0,4516.0,4790.0,4785.0,4845.0,5277.0,5365.0,5446.0,5684.0,5532.0,5991.0,5636.0,5640.0,6295.0,6518.0,6402.0,6203.0,6586.0,6626.0,6527.0,6525.0,7028.0,6692.0,6969.0,6753.0,6603.0,6631.0,7192.0,6690.0,7075.0,6846.0,7410.0,6991.0,7307,7480.0,7909.0,8193,8145.0,8706,9039,9193,9752.0,10070.0,10774.0,11412.0,10949.0,11763.0,11871,12779.0,11312.0,12288,11788.0,11561.0,10717.0,12010.0,10743,11192.0,10620.0,11212.0,10911.0,11253.0,11128.0,11043.0,10817.0,9813.0,10165.0,10045.0,10272.0,9854.0,10125,10558.0,10121.0,9357.0,9357.0,10086.0,10123.0,9729.0,10594.0,10825.0,10439.0,10661.0,10244.0,10801,11182,10568,10677.0,11140.0,11365,11529,11776,11848.0,11270,11182.0,11524,11869,11660,11801,11851.0,11784,12649.0,12918,12661,13972,13048,13635.0,13147,13886.0,12799,12345,13553.0,13512.0,13619,12852.0,13039.0,13591,13853,13765.0,13885.0,14010.0,14676.0,14385.0
Aabenraa,3356.0,3277.0,3079.0,3178.0,3306.0,3372.0,3337.0,3385.0,3665.0,3592.0,3662.0,3737.0,3438.0,3724.0,3830.0,3605.0,3645.0,3800.0,4061.0,4187.0,4222.0,4356.0,4439.0,3976.0,4248.0,4471.0,4573.0,4780.0,4923.0,4962.0,4637.0,4986.0,4953.0,5123.0,5126.0,4677.0,5137.0,5175.0,5045.0,5112.0,4913.0,4920.0,5123.0,5181.0,5356.0,5626.0,5131.0,5398.0,5296,5508.0,5838.0,5908,6240.0,6155,6161,6347,6692.0,6933.0,6861.0,7314.0,6945.0,7564.0,7361,7899.0,7223.0,7597,7678.0,7960.0,7239.0,7211.0,7266,8036.0,6766.0,7454.0,7072.0,7680.0,7106.0,7745.0,7651.0,7021.0,7697.0,7036.0,7084.0,6599.0,6300,6507.0,6491.0,6945.0,6565.0,6395.0,6265.0,6297.0,6474.0,6989.0,6453.0,6410.0,6487.0,7147,6529,6419,5807.0,6775.0,6774,6858,6882,7535.0,7146,6511.0,7012,7160,7448,7562,6825.0,6605,7216.0,6995,7513,7828,6932,8054.0,8331,8164.0,8007,6933,7250.0,8140.0,7867,7882.0,7447.0,7882,8169,8664.0,8891.0,8749.0,9007.0,8793.0
Favrskov,3652.0,3627.0,3763.0,3157.0,3434.0,3863.0,3748.0,3364.0,3727.0,3889.0,4027.0,3720.0,3854.0,3985.0,4301.0,4349.0,4421.0,4484.0,4631.0,4764.0,5005.0,5282.0,5181.0,5468.0,5847.0,5815.0,5678.0,6062.0,5837.0,6108.0,6479.0,6081.0,6639.0,6123.0,6499.0,6293.0,6573.0,6651.0,6552.0,6874.0,6993.0,6696.0,6389.0,6668.0,7016.0,7335.0,7092.0,7199.0,7739,7810.0,7798.0,7520,8878.0,8794,9127,9812,10109.0,10915.0,11572.0,11175.0,11662.0,11876.0,10611,11171.0,11499.0,11729,11289.0,11455.0,11406.0,11368.0,10823,11801.0,11704.0,11559.0,11689.0,10458.0,11238.0,11831.0,10497.0,11621.0,11534.0,10739.0,11524.0,10740.0,10690,10981.0,11491.0,10704.0,10518.0,11416.0,10153.0,9415.0,10831.0,11306.0,10697.0,10458.0,10643.0,11640,11416,11319,11439.0,10892.0,12354,10972,11478,11622.0,12787,12463.0,11976,12516,12578,11522,13244.0,12775,13425.0,12907,13390,12449,13545,13056.0,13475,13919.0,12926,13717,13391.0,13721.0,13413,13184.0,13006.0,13426,13804,14502.0,13392.0,14812.0,13379.0,15428.0
Hedensted,3286.0,3282.0,3215.0,3006.0,3244.0,3381.0,3329.0,3633.0,3498.0,3561.0,3600.0,3569.0,3681.0,3557.0,3826.0,3756.0,3835.0,3939.0,4012.0,4161.0,4263.0,4622.0,4575.0,4468.0,4608.0,4914.0,5200.0,5182.0,5333.0,5180.0,5348.0,5235.0,5098.0,5714.0,5737.0,5970.0,5406.0,5712.0,5495.0,5635.0,5745.0,6068.0,5935.0,6037.0,5870.0,6116.0,5997.0,5961.0,6532,6359.0,6523.0,6763,6843.0,7563,7408,7959,7969.0,9025.0,8855.0,8659.0,9603.0,9522.0,9828,11004.0,10693.0,10377,9748.0,9709.0,9815.0,9621.0,9186,9286.0,9030.0,9015.0,9161.0,8715.0,9129.0,9251.0,8750.0,8452.0,8514.0,8289.0,7719.0,8985.0,8437,7529.0,7718.0,7611.0,6933.0,8076.0,7834.0,7591.0,7621.0,8696.0,8013.0,7693.0,6982.0,8014,8165,8268,8343.0,8731.0,8406,9161,8006,9303.0,9037,8526.0,9000,9026,8802,9193,9260.0,8692,8495.0,8873,10084,9729,9983,10216.0,10113,9943.0,10102,9768,9243.0,9341.0,9677,9770.0,10289.0,9772,9545,9757.0,9761.0,10151.0,10073.0,10269.0
Horsens,3439.0,3485.0,3358.0,3412.0,3397.0,3556.0,3726.0,3716.0,3814.0,3870.0,3739.0,3899.0,4065.0,3943.0,3951.0,4174.0,4349.0,4324.0,4737.0,4908.0,4942.0,5208.0,5009.0,5280.0,5264.0,5809.0,5708.0,5636.0,6029.0,6089.0,6231.0,5865.0,6229.0,6329.0,6295.0,6452.0,6524.0,6684.0,6368.0,5975.0,6475.0,6204.0,6442.0,6233.0,6312.0,6744.0,6977.0,6771.0,7145,7125.0,7419.0,7797,8311.0,8572,9384,9377,10322.0,11433.0,11374.0,11442.0,11873.0,12325.0,12529,12181.0,11921.0,11908,12026.0,11086.0,11586.0,11373.0,10298,10642.0,11009.0,11124.0,11132.0,10997.0,10937.0,10682.0,10458.0,9781.0,10340.0,10152.0,10439.0,9832.0,9591,9681.0,9549.0,9475.0,10318.0,9732.0,10410.0,10090.0,10425.0,10590.0,10329.0,10984.0,10942.0,10970,11033,10438,11094.0,11049.0,11182,11473,11487,11901.0,11851,11608.0,11401,11743,11225,12402,11951.0,12489,12389.0,12634,12815,13131,12833,13134.0,13213,13734.0,13530,13099,12478.0,12693.0,13660,13047.0,13230.0,13492,13398,13300.0,13056.0,14257.0,13552.0,14349.0
Norddjurs,2989.0,3071.0,3191.0,3101.0,3396.0,2994.0,3331.0,3229.0,3635.0,3249.0,3239.0,3235.0,3287.0,3592.0,3308.0,3575.0,3684.0,3792.0,3650.0,3852.0,3785.0,4016.0,4283.0,4086.0,4223.0,4455.0,4354.0,4500.0,4931.0,4673.0,4702.0,4649.0,4487.0,4614.0,4870.0,4765.0,4825.0,4896.0,4671.0,5004.0,4882.0,4734.0,5707.0,4974.0,4686.0,5028.0,5089.0,4998.0,5050,5733.0,4783.0,5095,5766.0,6047,5973,6349,6886.0,7375.0,6895.0,7481.0,7989.0,8046.0,7616,8299.0,8760.0,8741,8219.0,8040.0,8239.0,7660.0,7793,7512.0,7613.0,7636.0,8016.0,7585.0,7131.0,7541.0,7523.0,6480.0,7178.0,6613.0,6402.0,6699.0,7319,6478.0,6430.0,6048.0,7048.0,6161.0,5885.0,6132.0,6389.0,6557.0,7178.0,7077.0,6619.0,6927,6356,6525,6148.0,6104.0,7334,6388,6897,6850.0,6686,7361.0,6533,6934,7537,6392,7323.0,6849,6663.0,7187,7920,7476,8152,7145.0,7236,6637.0,7266,7751,7394.0,7532.0,7112,7432.0,7433.0,7125,6497,7067.0,7398.0,7516.0,7346.0,6747.0
Odder,3753.0,3686.0,3964.0,3797.0,3542.0,4499.0,4085.0,3886.0,4267.0,3825.0,4265.0,4106.0,4142.0,4353.0,4650.0,4538.0,5057.0,4662.0,5198.0,5346.0,5582.0,5845.0,5881.0,5877.0,5974.0,6283.0,6068.0,6426.0,6742.0,5957.0,6265.0,6575.0,7165.0,7135.0,7368.0,7089.0,7316.0,7221.0,7267.0,6422.0,7889.0,6863.0,7729.0,6971.0,6980.0,7822.0,8007.0,7922.0,7239,8221.0,8913.0,8490,7932.0,9304,10295,10483,12981.0,12506.0,13078.0,12432.0,11618.0,13359.0,12814,13649.0,11449.0,14273,13181.0,13151.0,11836.0,12544.0,12799,11238.0,12285.0,12699.0,11558.0,11598.0,12676.0,12768.0,11118.0,11461.0,11068.0,12477.0,12673.0,11064.0,10934,11574.0,11652.0,10422.0,10543.0,11099.0,11372.0,10891.0,10755.0,12336.0,11725.0,12531.0,10900.0,11995,10699,12218,11456.0,11996.0,11796,12642,12472,12956.0,12408,13437.0,13035,12920,13823,12792,13245.0,13809,14003.0,13638,15334,14687,12996,14722.0,14338,14246.0,15408,14224,15169.0,15121.0,14323,14968.0,15267.0,15279,15690,14710.0,15659.0,14641.0,16050.0,16129.0
Randers,3480.0,3541.0,3542.0,3503.0,3189.0,3461.0,3531.0,3561.0,3900.0,3956.0,3872.0,3802.0,3859.0,4026.0,4051.0,4337.0,4519.0,4652.0,4670.0,4844.0,5053.0,5251.0,5226.0,5251.0,5329.0,5650.0,5593.0,5615.0,5839.0,5956.0,5853.0,5606.0,5965.0,6066.0,6179.0,6050.0,6179.0,6178.0,6217.0,6146.0,6436.0,6183.0,6412.0,6235.0,6114.0,6405.0,6665.0,6108.0,6721,6937.0,6991.0,7075,7674.0,7771,7696,8616,9161.0,9441.0,9625.0,10651.0,10545.0,10541.0,10430,10320.0,10730.0,11237,10356.0,10530.0,10188.0,9849.0,10217,9394.0,9773.0,9310.0,9880.0,9828.0,9553.0,9854.0,9562.0,9403.0,9199.0,9366.0,8915.0,9030.0,8619,9835.0,9422.0,9166.0,8961.0,9045.0,8557.0,8614.0,9699.0,9252.0,9513.0,8858.0,9060.0,9640,9701,9193,8678.0,9578.0,9972,9525,9962,9968.0,10413,10501.0,10206,10713,10243,10161,9938.0,10838,10251.0,10380,11016,11184,11489,11302.0,11197,10075.0,11463,10223,10229.0,10812.0,10493,10736.0,10415.0,10766,10293,10521.0,11295.0,11623.0,11193.0,10934.0
Samsø,2169.0,2370.0,2366.0,2785.0,2111.0,2470.0,2513.0,2675.0,2704.0,2492.0,2496.0,2600.0,2565.0,2824.0,3264.0,2830.0,3370.0,2382.0,3273.0,2796.0,3450.0,3673.0,3351.0,3512.0,3384.0,3788.0,3582.0,3661.0,3871.0,3813.0,3780.0,3475.0,4298.0,4335.0,4238.0,4717.0,4859.0,4434.0,4946.0,4085.0,4541.0,4875.0,4681.0,2940.0,4445.0,4843.0,5016.0,5062.0,4530,5172.0,6661.0,4707,,9250,4517,5778,4900.0,,7110.0,8539.0,5761.0,9895.0,8741,8737.0,8222.0,7479,8401.0,,8532.0,7772.0,8345,6649.0,5965.0,7082.0,6717.0,5627.0,6117.0,7756.0,8081.0,6301.0,4948.0,6775.0,,6123.0,6598,,4467.0,5275.0,,4803.0,6604.0,4879.0,6618.0,5295.0,7968.0,7169.0,6246.0,8028,5583,4712,5501.0,6230.0,6303,6304,7168,7425.0,7417,6258.0,8279,6816,7234,6445,6982.0,7812,7367.0,7333,7781,10454,9340,10231.0,10670,12713.0,9941,9441,10347.0,10987.0,8273,8230.0,11058.0,12123,11883,8841.0,8342.0,7758.0,9293.0,12171.0
